keyword,result_type,title,url,domain,brand,snippet,question,page,absolute_position,organic_position,ad_position,serp_block_position
buy adidas shoes,organic,Shoes,https://www.adidas.ca/en/shoes,www.adidas.ca,Adidas,"Whatever your game, we've got the shoes to match. From sport-specific trainers to everyday sneakers, adidas kicks deliver the win for comfort and style.",,1,1,1,,
buy adidas shoes,organic,Men's Shoes & Sneakers,https://www.adidas.ca/en/men-shoes,www.adidas.ca,Adidas,"Discover men's shoes at adidas. Whether you're training, running, or just walking to work, we have the perfect footwear to fit your lifestyle.",,1,2,2,,
buy adidas shoes,organic,adidas,https://www.sportchek.ca/en/all-brands/adidas.html,www.sportchek.ca,Sportchek,"Sport Chek carries top adidas products like Stan Smith, Ultraboost, Samba, NMD, Parley, Superstar & more. Find the latest adidas Climacool Hoodies, ...",,1,3,3,,
buy adidas shoes,organic,adidas Canada: Sportswear & Sneakers,https://www.adidas.ca/en,www.adidas.ca,Adidas,,,1,4,4,,
buy adidas shoes,organic,adidas Shoes,https://www.famousfootwear.ca/en/browse/brands/adidas?srsltid=AfmBOopMHuI-4aE3hGi8otHfH0lJGrelXAmKkOKPdSZ6U69GLHkwNGKc,www.famousfootwear.ca,Famousfootwear,"Shop adidas Shoes at Famous Footwear. Explore adidas shoes, sneakers, slides & more for women, men & kids. Buy Online & Pick Up. Free",,1,5,5,,
buy adidas shoes,organic,Sale adidas Shoes,https://www.champssports.ca/en/category/sale/shoes/adidas.html,www.champssports.ca,Champssports,"Shop the latest selection of Sale adidas Shoes at Champs Sports. Find the hottest sneaker drops from brands like Jordan, Nike, Under Armour, ...",,1,6,6,,
buy adidas shoes,organic,adidas Shoes Sale,https://www.footlocker.ca/en/category/sale/shoes/adidas.html,www.footlocker.ca,Footlocker,"Shop the hottest selection of adidas Shoes Sale at Foot Locker. With the latest sneaker drops and apparel from brands like Nike, adidas, ...",,1,7,7,,
buy adidas shoes,organic,Men's Adidas Shoes,https://jdsports.ca/collections/mens-adidas-shoes?srsltid=AfmBOooOnMDLDi5ceqWU3RBljo2NsbpQ6LXmPm__2gx9xIQEw-_-vBKE,jdsports.ca,Jdsports,"Sale Alert: Shop up to 60% off Sneakers, Apparel & More. ... Get Ahead of the Curve & Shop the Newest Trends in Men's Footwear! Get More, Pay Less! Check Out Our ...",,1,8,8,,
buy adidas shoes,organic,adidas Originals Clothes & Shoes,https://www.adidas.ca/en/originals,www.adidas.ca,Adidas,"Shop for adidas Originals clothes and shoes at adidas. Hoodies, track suits, sneakers and much more from the adidas Originals collection.",,1,9,9,,
buy adidas shoes,organic,Sneakers & Sportswear | adidas US,https://www.adidas.com/us,www.adidas.com,Adidas,,,1,10,10,,
